f_frame_counter_left_camera,MRA2_ORG_CAN_S_Gaze_ROI,MRA2_ORG_MS_S_Gaze_ROI_X_Raw,MRA2_ORG_MS_S_Gaze_ROI_Y_Raw,MRA2_TARGET_NAME,MRA2_CALC_roi_idx_h,MRA2_CALC_roi_name_h,MRA2_CALC_roi_X,MRA2_CALC_roi_Y,CVT_CALC_roi_idx_h,CVT_CALC_roi_name_h,CVT_CALC_roi_X,CVT_CALC_roi_Y
45391.0000,3.0000,42.0000,49.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,46.0000,31.0000,3.0000,   /Windshield    Driver   ,29,87
45392.0000,3.0000,42.0000,49.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,46.0000,31.0000,3.0000,   /Windshield    Driver   ,29,87
45393.0000,3.0000,42.0000,49.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,45.0000,31.0000,3.0000,   /Windshield    Driver   ,29,87
45394.0000,3.0000,42.0000,49.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,45.0000,30.0000,3.0000,   /Windshield    Driver   ,29,86
45395.0000,3.0000,42.0000,49.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,45.0000,29.0000,3.0000,   /Windshield    Driver   ,28,88
45396.0000,3.0000,42.0000,49.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,45.0000,29.0000,3.0000,   /Windshield    Driver   ,28,87
45397.0000,3.0000,42.0000,49.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,45.0000,28.0000,3.0000,   /Windshield    Driver   ,28,87
45398.0000,3.0000,42.0000,49.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,44.0000,28.0000,3.0000,   /Windshield    Driver   ,28,89
45399.0000,3.0000,42.0000,49.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,44.0000,28.0000,3.0000,   /Windshield    Driver   ,27,89
45400.0000,3.0000,42.0000,49.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,44.0000,28.0000,3.0000,   /Windshield    Driver   ,27,90
45401.0000,3.0000,42.0000,49.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,44.0000,28.0000,3.0000,   /Windshield    Driver   ,26,91
45402.0000,3.0000,42.0000,49.0000, Windshield  Driver ,3.0000,   /Windshield    Driver   ,44.0000,28.0000,3.0000,   /Windshield    Driver   ,25,92
